username,reponame,repoURL,no_of_stars
babel,babel,https://github.com/babel/babel,43200
swc-project,swc,https://github.com/swc-project/swc,30900
nylas,nylas-mail,https://github.com/nylas/nylas-mail,24800
electron-react-boilerplate,electron-react-boilerplate,https://github.com/electron-react-boilerplate/electron-react-boilerplate,23100
SimulatedGREG,electron-vue,https://github.com/SimulatedGREG/electron-vue,15500
grab,front-end-guide,https://github.com/grab/front-end-guide,15100
jamiebuilds,babel-handbook,https://github.com/jamiebuilds/babel-handbook,12000
developit,htm,https://github.com/developit/htm,8700
grommet,grommet,https://github.com/grommet/grommet,8300
ben-rogerson,twin.macro,https://github.com/ben-rogerson/twin.macro,7900
ast-grep,ast-grep,https://github.com/ast-grep/ast-grep,7100
angular-fullstack,generator-angular-fullstack,https://github.com/angular-fullstack/generator-angular-fullstack,6100
fkling,astexplorer,https://github.com/fkling/astexplorer,6100
documentationjs,documentation,https://github.com/documentationjs/documentation,5800
insin,nwb,https://github.com/insin/nwb,5600
thx,gogocode,https://github.com/thx/gogocode,5500
thinkjs,thinkjs,https://github.com/thinkjs/thinkjs,5300
egoist,poi,https://github.com/egoist/poi,5200
duxianwei520,react,https://github.com/duxianwei520/react,5100
babel,babel-loader,https://github.com/babel/babel-loader,4800
