username,reponame,repoURL,no_of_stars
crystal-lang,crystal,https://github.com/crystal-lang/crystal,19300
kemalcr,kemal,https://github.com/kemalcr/kemal,3600
veelenga,awesome-crystal,https://github.com/veelenga/awesome-crystal,3300
luckyframework,lucky,https://github.com/luckyframework/lucky,2600
amberframework,amber,https://github.com/amberframework/amber,2600
vitobotta,hetzner-k3s,https://github.com/vitobotta/hetzner-k3s,1800
getmango,Mango,https://github.com/getmango/Mango,1700
ffwff,lilith,https://github.com/ffwff/lilith,1100
drujensen,fib,https://github.com/drujensen/fib,858000
amethyst-framework,amethyst,https://github.com/amethyst-framework/amethyst,649000
hanabi1224,Programming-Language-Benchmarks,https://github.com/hanabi1224/Programming-Language-Benchmarks,631000
owasp-noir,noir,https://github.com/owasp-noir/noir,552000
askn,crystal-by-example,https://github.com/askn/crystal-by-example,549000
crystal-ameba,ameba,https://github.com/crystal-ameba/ameba,514000
crystal-community,icr,https://github.com/crystal-community/icr,502000
will,crystal-pg,https://github.com/will/crystal-pg,462000
elbywan,crystalline,https://github.com/elbywan/crystalline,432000
imdrasil,jennifer.cr,https://github.com/imdrasil/jennifer.cr,417000
vim-crystal,vim-crystal,https://github.com/vim-crystal/vim-crystal,413000
martenframework,marten,https://github.com/martenframework/marten,405000
