username,reponame,repoURL,no_of_stars
jlevy,the-art-of-command-line,https://github.com/jlevy/the-art-of-command-line,153000
nvm-sh,nvm,https://github.com/nvm-sh/nvm,78700
junegunn,fzf,https://github.com/junegunn/fzf,63700
starship,starship,https://github.com/starship/starship,44100
google,zx,https://github.com/google/zx,42800
LeCoupa,awesome-cheatsheets,https://github.com/LeCoupa/awesome-cheatsheets,39500
acmesh-official,acme.sh,https://github.com/acmesh-official/acme.sh,38400
dylanaraps,pure-bash-bible,https://github.com/dylanaraps/pure-bash-bible,36400
koalaman,shellcheck,https://github.com/koalaman/shellcheck,36100
alebcay,awesome-shell,https://github.com/alebcay/awesome-shell,32600
jaywcjlove,linux-command,https://github.com/jaywcjlove/linux-command,31000
mathiasbynens,dotfiles,https://github.com/mathiasbynens/dotfiles,30100
withfig,autocomplete,https://github.com/withfig/autocomplete,24500
kingToolbox,WindTerm,https://github.com/kingToolbox/WindTerm,22600
dylanaraps,neofetch,https://github.com/dylanaraps/neofetch,21900
ajeetdsouza,zoxide,https://github.com/ajeetdsouza/zoxide,21600
asdf-vm,asdf,https://github.com/asdf-vm/asdf,21600
warpdotdev,Warp,https://github.com/warpdotdev/Warp,20900
atuinsh,atuin,https://github.com/atuinsh/atuin,20100
Nyr,openvpn-install,https://github.com/Nyr/openvpn-install,19000
