username,reponame,repoURL,no_of_stars
bitcoin,bitcoin,https://github.com/bitcoin/bitcoin,78300
ccxt,ccxt,https://github.com/ccxt/ccxt,32500
OpenBB-finance,OpenBB,https://github.com/OpenBB-finance/OpenBB,29600
freqtrade,freqtrade,https://github.com/freqtrade/freqtrade,28000
dogecoin,dogecoin,https://github.com/dogecoin/dogecoin,14400
monero-project,monero,https://github.com/monero-project/monero,8900
xmrig,xmrig,https://github.com/xmrig/xmrig,8600
hummingbot,hummingbot,https://github.com/hummingbot/hummingbot,7900
kroma-network,tachyon,https://github.com/kroma-network/tachyon,7800
dvf,blockchain,https://github.com/dvf/blockchain,7800
lightningnetwork,lnd,https://github.com/lightningnetwork/lnd,7600
lbryio,lbry-sdk,https://github.com/lbryio/lbry-sdk,7200
StockSharp,StockSharp,https://github.com/StockSharp/StockSharp,7000
firmai,financial-machine-learning,https://github.com/firmai/financial-machine-learning,6900
cosmos,cosmos-sdk,https://github.com/cosmos/cosmos-sdk,6200
sammchardy,python-binance,https://github.com/sammchardy/python-binance,6000
tendermint,tendermint,https://github.com/tendermint/tendermint,5700
jesse-ai,jesse,https://github.com/jesse-ai/jesse,5500
sea-protocol,seaprotocol,https://github.com/sea-protocol/seaprotocol,5100
mimblewimble,grin,https://github.com/mimblewimble/grin,5000
