username,reponame,repoURL,no_of_stars
bregman-arie,devops-exercises,https://github.com/bregman-arie/devops-exercises,65800
ByteByteGoHq,system-design-101,https://github.com/ByteByteGoHq/system-design-101,62900
localstack,localstack,https://github.com/localstack/localstack,53700
serverless,serverless,https://github.com/serverless/serverless,46400
donnemartin,data-science-ipython-notebooks,https://github.com/donnemartin/data-science-ipython-notebooks,27100
sst,sst,https://github.com/sst/sst,21400
pulumi,pulumi,https://github.com/pulumi/pulumi,20900
getsops,sops,https://github.com/getsops/sops,16300
kubernetes-sigs,kubespray,https://github.com/kubernetes-sigs/kubespray,15900
aws,aws-cli,https://github.com/aws/aws-cli,15300
ramitsurana,awesome-kubernetes,https://github.com/ramitsurana/awesome-kubernetes,15000
caprover,caprover,https://github.com/caprover/caprover,12900
donnemartin,awesome-aws,https://github.com/donnemartin/awesome-aws,12400
GoogleCloudPlatform,terraformer,https://github.com/GoogleCloudPlatform/terraformer,12400
milanm,DevOps-Roadmap,https://github.com/milanm/DevOps-Roadmap,11800
aws,aws-cdk,https://github.com/aws/aws-cdk,11500
phidatahq,phidata,https://github.com/phidatahq/phidata,11100
infracost,infracost,https://github.com/infracost/infracost,10900
apereo,cas,https://github.com/apereo/cas,10900
aws,chalice,https://github.com/aws/chalice,10600
